epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,3584.92,0.47688,0.52358,1.02451,0.8821,0.8819,0.9196,0.87125,0.32068,0.46164,0.68182,0.0004456,0.0004456,0.0004456
58,3733.02,0.46878,0.50089,1.01922,0.8765,0.83937,0.91434,0.86818,0.31023,0.4521,0.67065,0.0004357,0.0004357,0.0004357
59,3879.91,0.46458,0.50312,1.02052,0.85769,0.84266,0.90926,0.8643,0.31397,0.45233,0.6735,0.0004258,0.0004258,0.0004258
60,4033.39,0.46682,0.49198,1.02134,0.86783,0.86698,0.9119,0.87033,0.31003,0.43363,0.66675,0.0004159,0.0004159,0.0004159
61,4181.08,0.46239,0.48439,1.01626,0.90429,0.87951,0.94342,0.89688,0.30762,0.41211,0.66343,0.000406,0.000406,0.000406
62,4331.39,0.45656,0.48782,1.01574,0.89234,0.87029,0.92724,0.88341,0.30795,0.42536,0.66797,0.0003961,0.0003961,0.0003961
63,4483.61,0.46226,0.48366,1.01345,0.91591,0.87499,0.93354,0.89227,0.30948,0.40774,0.67075,0.0003862,0.0003862,0.0003862
64,4630.75,0.45232,0.47276,1.01233,0.89366,0.88355,0.92693,0.88529,0.30244,0.41367,0.66595,0.0003763,0.0003763,0.0003763
65,4780.35,0.45161,0.46011,1.01497,0.85427,0.90639,0.93048,0.88967,0.30409,0.43535,0.66617,0.0003664,0.0003664,0.0003664
66,4930.77,0.44933,0.46471,1.01128,0.86707,0.8764,0.91695,0.87657,0.30263,0.42338,0.66533,0.0003565,0.0003565,0.0003565
67,5084.6,0.44223,0.4532,1.00887,0.86158,0.90416,0.9283,0.88259,0.30417,0.4262,0.66213,0.0003466,0.0003466,0.0003466
68,5235.24,0.43917,0.44331,1.00529,0.86588,0.91999,0.93895,0.8942,0.31022,0.42379,0.6674,0.0003367,0.0003367,0.0003367
69,5385.03,0.44426,0.43768,1.00967,0.8813,0.89188,0.93552,0.89345,0.29661,0.41328,0.66168,0.0003268,0.0003268,0.0003268
70,5536.65,0.44432,0.44106,1.01235,0.86434,0.91287,0.93992,0.89449,0.30621,0.41217,0.66886,0.0003169,0.0003169,0.0003169
71,5691.28,0.43781,0.43943,1.00294,0.91299,0.89395,0.94863,0.90454,0.30571,0.38647,0.67027,0.000307,0.000307,0.000307
72,5843.56,0.43228,0.42602,1.00291,0.86094,0.91902,0.94159,0.90175,0.29969,0.40149,0.66784,0.0002971,0.0002971,0.0002971
73,5994.19,0.43521,0.42316,1.00499,0.90741,0.88018,0.94354,0.90693,0.29885,0.39774,0.6633,0.0002872,0.0002872,0.0002872
74,6145.49,0.44356,0.42569,1.01181,0.88326,0.89722,0.94372,0.90258,0.30843,0.40129,0.67171,0.0002773,0.0002773,0.0002773
75,6297.91,0.42697,0.41745,1.00122,0.86518,0.92836,0.93619,0.89452,0.29898,0.40857,0.65916,0.0002674,0.0002674,0.0002674
76,6451.44,0.42566,0.41387,1.00276,0.87149,0.92428,0.95307,0.91114,0.30319,0.37915,0.66288,0.0002575,0.0002575,0.0002575
77,6602.31,0.42423,0.41,0.99965,0.8838,0.9076,0.94985,0.90692,0.30018,0.38158,0.66191,0.0002476,0.0002476,0.0002476
78,6754.24,0.42518,0.40224,1.00064,0.91151,0.90829,0.94963,0.90512,0.30124,0.35802,0.66279,0.0002377,0.0002377,0.0002377
79,6904.23,0.41974,0.39437,0.99955,0.92194,0.88685,0.94565,0.90252,0.29651,0.39822,0.6631,0.0002278,0.0002278,0.0002278
80,7053.06,0.41886,0.39004,0.99846,0.89143,0.90766,0.95282,0.91084,0.29705,0.38062,0.66656,0.0002179,0.0002179,0.0002179
81,7204.3,0.41648,0.38868,0.99864,0.90337,0.90261,0.95259,0.9075,0.29519,0.37053,0.6609,0.000208,0.000208,0.000208
82,7356.57,0.41151,0.38189,0.99303,0.87503,0.92362,0.941,0.89688,0.29559,0.39516,0.66074,0.0001981,0.0001981,0.0001981
83,7505.43,0.4129,0.37911,0.9948,0.87407,0.91873,0.94609,0.90128,0.30387,0.38895,0.66978,0.0001882,0.0001882,0.0001882
84,7653.51,0.41083,0.38119,0.9959,0.87789,0.90356,0.94778,0.90203,0.30284,0.39224,0.67004,0.0001783,0.0001783,0.0001783
85,7806.88,0.41175,0.37678,0.99393,0.92441,0.89179,0.94982,0.90746,0.29551,0.37684,0.66296,0.0001684,0.0001684,0.0001684
86,7955.71,0.40633,0.3693,0.99218,0.90655,0.8959,0.95294,0.91098,0.29514,0.38354,0.65948,0.0001585,0.0001585,0.0001585
87,8103.73,0.40058,0.36653,0.98885,0.90414,0.91418,0.9526,0.91322,0.2952,0.37643,0.66149,0.0001486,0.0001486,0.0001486
88,8252.81,0.39905,0.35417,0.98631,0.87729,0.91184,0.94687,0.90621,0.29002,0.3883,0.6572,0.0001387,0.0001387,0.0001387
89,8407.62,0.39646,0.35147,0.98735,0.88154,0.91791,0.9492,0.90854,0.29424,0.37928,0.66167,0.0001288,0.0001288,0.0001288
90,8558.38,0.39637,0.34738,0.98548,0.89601,0.92043,0.95044,0.9143,0.29298,0.36088,0.657,0.0001189,0.0001189,0.0001189
91,8708.63,0.30642,0.21792,0.93385,0.8762,0.91216,0.93821,0.90027,0.29467,0.40499,0.66703,0.000109,0.000109,0.000109
92,8860.9,0.30045,0.20918,0.92799,0.9119,0.88976,0.94148,0.8986,0.29527,0.40034,0.66434,9.91e-05,9.91e-05,9.91e-05
93,9007.87,0.29662,0.19799,0.92123,0.89732,0.88912,0.93954,0.89864,0.29117,0.40321,0.6613,8.92e-05,8.92e-05,8.92e-05
94,9154.96,0.29327,0.19049,0.91758,0.88981,0.89925,0.94292,0.90346,0.29367,0.3943,0.66177,7.93e-05,7.93e-05,7.93e-05
95,9302.77,0.28579,0.18179,0.91514,0.89374,0.91611,0.95089,0.90937,0.29368,0.38507,0.66467,6.94e-05,6.94e-05,6.94e-05
96,9450,0.2768,0.17556,0.91157,0.8951,0.92299,0.95533,0.91355,0.29293,0.37526,0.66317,5.95e-05,5.95e-05,5.95e-05
97,9595.6,0.28002,0.1744,0.91691,0.89273,0.9258,0.95298,0.91234,0.29419,0.37953,0.66916,4.96e-05,4.96e-05,4.96e-05
98,9744.69,0.27486,0.17541,0.91284,0.90485,0.89705,0.94997,0.9095,0.29655,0.39496,0.67306,3.97e-05,3.97e-05,3.97e-05
99,9892.65,0.27107,0.16788,0.90548,0.9174,0.87675,0.94785,0.90627,0.29617,0.4007,0.67107,2.98e-05,2.98e-05,2.98e-05
100,10040.3,0.26691,0.16607,0.90217,0.88266,0.91869,0.94824,0.9068,0.29791,0.39725,0.67146,1.99e-05,1.99e-05,1.99e-05
